"","x"
"1",0.000446019182817466
"2",0.000585086197112388
"3",1.21271069407141e-05
"4",8.14941703189886e-05
"5",0.000316845852457908
"6",2.3571632386476e-05
"7",5.55250624435301e-05
"8",0.000156513991314188
"9",0.000143633470665592
"10",2.91510191291198e-06
"11",0.000301781717499163
"12",0.00033035222198177
"13",0.000248946658818487
"14",0.0001752595305163
"15",7.92868912861666e-05
"16",2.00043486759058e-05
"17",0.000441796959504447
"18",4.30008291619337e-07
"19",0.000103658470213556
"20",0.000345451106888608
"21",2.95678364992965e-05
"22",1.44913824395836e-05
"23",0.000169510165283156
"24",3.96155828295392e-05
"25",0.000545372498589066
"26",0.000318278860649819
"27",0.000458116399148926
"28",0.000538063575020816
"29",6.88179737703235e-05
"30",0.000282759608594504
"31",0.000275350086830241
"32",6.84237652699346e-06
"33",0.000549222062363707
"34",0.000440841387949012
"35",0.000238712708061773
"36",0.000477850992569038
"37",6.88727498596348e-05
"38",5.40821392795885e-05
"39",7.56663681820267e-05
"40",9.36895870468271e-05
"41",3.04554829989511e-06
"42",0.000361038078867434
"43",0.000486513165201654
"44",0.000225548034480854
"45",0.000342449323148801
"46",2.96283733150618e-05
"47",7.57726969971009e-05
"48",0.000102608962633393
"49",0.0002160539777398
"50",0.000134765701110066
