"","x"
"1",2.3800206090838e-06
"2",1.12379596537415e-05
"3",3.24052604444292e-09
"4",2.70486137981901e-05
"5",5.66804450666236e-05
"6",2.63771186575025e-05
"7",2.23049518633729e-05
"8",4.13103411801468e-06
"9",2.03417305295003e-05
"10",1.87226975062716e-06
"11",2.85893153855923e-05
"12",2.99010975703618e-05
"13",2.19758927001582e-05
"14",6.84512882098948e-06
"15",3.54965266752747e-05
"16",1.50972562676061e-05
"17",7.26472051250711e-05
"18",1.62877178421486e-06
"19",3.43446145643194e-06
"20",9.97388367486877e-07
"21",1.6893408519065e-05
"22",2.23906579709708e-05
"23",1.35898330944733e-06
"24",7.7243711317842e-05
"25",3.86109454728775e-06
"26",1.663138935882e-05
"27",4.18624416432165e-05
"28",1.0549031068031e-08
"29",7.03754413793566e-05
"30",1.51331499043075e-05
"31",1.24390004630955e-07
"32",1.2019218527156e-05
"33",2.64863042728253e-06
"34",2.90181403664506e-06
"35",0.000134256516534313
"36",1.84051091563934e-05
"37",9.1220197099577e-05
"38",1.44057594907696e-05
"39",1.86465955061866e-05
"40",7.42617373363261e-07
"41",3.14831800687489e-06
"42",2.94567074831849e-07
"43",8.53500111735328e-10
"44",1.26541397000861e-06
"45",1.45193268414231e-05
"46",2.29727133775812e-06
"47",8.21805809574631e-05
"48",5.46243813512836e-07
"49",5.07301762383603e-08
"50",5.63753366460115e-05
