"","x"
"1",0.000183875124212657
"2",0.000303786161794551
"3",0.00012778563695181
"4",0.000406603964606059
"5",0.000178120136208159
"6",0.0003981110625855
"7",0.000146274410432766
"8",0.000375584788158729
"9",0.000356873204333431
"10",0.000373461346276326
"11",0.0003627730926062
"12",0.000400491449310365
"13",0.000456084345593059
"14",0.000178717408919501
"15",0.000329745404537951
"16",0.000328042241882451
"17",0.000462412918150226
"18",0.000148055466656331
"19",0.000208047433553894
"20",0.000301691014136702
"21",0.000389508906105724
"22",0.000437613711345001
"23",0.000180113199692085
"24",0.000389911061917642
"25",0.000238081612092663
"26",0.000323792775443286
"27",0.000220670921607935
"28",0.000301041574053474
"29",0.000207472288252888
"30",0.000184122751902964
"31",0.000302535161855593
"32",0.000381868948702673
"33",0.0004060856388483
"34",0.000358259972778766
"35",0.000397843847125696
"36",7.86738445735678e-05
"37",0.000475658442339643
"38",0.000206393379537973
"39",0.000319462456184211
"40",0.00032799537314648
"41",0.000351029508281455
"42",0.000425429186991892
"43",0.000265537100984918
"44",0.000306969735970179
"45",0.000284324362263291
"46",0.000300174988559958
"47",0.000365654273432895
"48",0.000358829879484647
"49",0.000331741651591743
"50",0.000163559546927191
